,P_grid,P_wind,P_pv,P_b,P_ele,P_pro,soc,Mh2,price_grid,expenditure,accumulated_ex
53,-46.17419125261832,50.74801096385951,23.73682810155514,0,13.791666666666666,0.8,0,0,30.93,-107.23547818715822,-9091.400696471403
54,-46.17419125261832,50.74801096385951,23.73682810155514,0,13.791666666666666,0.8,0,0,30.93,-107.23547818715822,-9198.63617465856
55,-46.17419125261832,50.74801096385951,23.73682810155514,0,13.791666666666666,0.8,0,0,30.93,-107.23547818715822,-9305.871652845723
56,-37.34417842127214,46.99603861106743,18.310948046264773,0,13.791666666666666,0.8,0,0,30.67,-70.93093184180248,-9376.802584687524
57,-37.34417842127214,46.99603861106743,18.310948046264773,0,13.791666666666666,0.8,0,0,30.67,-70.93093184180248,-9447.733516529326
58,-37.34417842127214,46.99603861106743,18.310948046264773,0,13.791666666666666,0.8,0,0,30.67,-70.93093184180248,-9518.664448371128
59,-37.34417842127214,46.99603861106743,18.310948046264773,0,13.791666666666666,0.8,0,0,30.67,-70.93093184180248,-9589.59538021293
60,-31.955219952846583,43.29509185365486,16.43036377997954,0,13.791666666666666,0.8,0,0,30.79,-49.43647359522868,-9639.03185380816
61,-31.955219952846583,43.29509185365486,16.43036377997954,0,13.791666666666666,0.8,0,0,30.79,-49.43647359522868,-9688.468327403389
62,-31.955219952846583,43.29509185365486,16.43036377997954,0,13.791666666666666,0.8,0,0,30.79,-49.43647359522868,-9737.904800998618
63,-31.955219952846583,43.29509185365486,16.43036377997954,0,13.791666666666666,0.8,0,0,30.79,-49.43647359522868,-9787.341274593848
64,-26.21690240739199,44.83619894343534,8.999438781637425,0,13.791666666666666,0.8,0,0,31.16,-35.48339999739046,-9822.824674591238
65,-26.21690240739199,44.83619894343534,8.999438781637425,0,13.791666666666666,0.8,0,0,31.16,-35.48339999739046,-9858.30807458863
66,-26.21690240739199,44.83619894343534,8.999438781637425,0,13.791666666666666,0.8,0,0,31.16,-35.48339999739046,-9893.79147458602
67,-26.21690240739199,44.83619894343534,8.999438781637425,0,13.791666666666666,0.8,0,0,31.16,-35.48339999739046,-9929.27487458341
68,-34.69816625523422,46.55864293280538,2.8287744461287465,0,3.375,0.8,0,0,31.53,-126.56053972754546,-10055.835414310955
69,-34.69816625523422,46.55864293280538,2.8287744461287465,0,3.375,0.8,0,0,31.53,-126.56053972754546,-10182.3959540385
70,-34.69816625523422,46.55864293280538,2.8287744461287465,0,3.375,0.8,0,0,31.53,-126.56053972754546,-10308.956493766045
71,-34.69816625523422,46.55864293280538,2.8287744461287465,0,3.375,0.8,0,0,31.53,-126.56053972754546,-10435.51703349359
72,-33.48761015146543,48.17580108639349,0.0,0,3.375,0.8,0,0,31.1,-121.01766428525055,-10556.534697778841
73,-33.48761015146543,48.17580108639349,0.0,0,3.375,0.8,0,0,31.1,-121.01766428525055,-10677.552362064092
